query_id,query_type,ground_truth,assigned_category,notes
Q_PHR_0,phrase,REG-09_CHUNK-0532_SUB-1_SUB-1_SUB-82,Query generation issue,Auto-classified based on phrase failure patterns.
Q_PHR_1,phrase,REG-01_CHUNK-0464_SUB-4_SUB-50,Query generation issue,Auto-classified based on phrase failure patterns.
Q_PHR_2,phrase,ACT-07_CHUNK-9060,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_3,phrase,ACT-07_CHUNK-3155_SUB-2,Query generation issue,Auto-classified based on phrase failure patterns.
Q_PHR_4,phrase,REG-01_CHUNK-1222_SUB-2,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_5,phrase,ACT-18_CHUNK-0046,Genuine retrieval failure,Auto-classified based on phrase failure patterns.
Q_PHR_6,phrase,REG-14_CHUNK-0687,Genuine retrieval failure,Auto-classified based on phrase failure patterns.
Q_PHR_7,phrase,ACT-03_CHUNK-0398_SUB-8,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_8,phrase,REG-14_CHUNK-0800_SUB-1,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_9,phrase,REG-02_CHUNK-0007,Genuine retrieval failure,Auto-classified based on phrase failure patterns.
Q_PHR_10,phrase,IRS-11_CHUNK-0175,Genuine retrieval failure,Auto-classified based on phrase failure patterns.
Q_PHR_11,phrase,ACT-07_CHUNK-3187,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_12,phrase,IRS-05_CHUNK-0180,Query generation issue,Auto-classified based on phrase failure patterns.
Q_PHR_13,phrase,IRS-25_CHUNK-0258,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_14,phrase,REG-03_CHUNK-1215,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_15,phrase,ACT-16_CHUNK-0761,Analyzer/tokenization issue,Auto-classified based on phrase failure patterns.
Q_PHR_16,phrase,REG-04_CHUNK-1281_SUB-2_SUB-2,Query generation issue,Auto-classified based on phrase failure patterns.
Q_PHR_17,phrase,ACT-07_CHUNK-2765,Query generation issue,Auto-classified based on phrase failure patterns.
Q_PHR_18,phrase,ACT-07_CHUNK-4456_SUB-6,Genuine retrieval failure,Auto-classified based on phrase failure patterns.
Q_PHR_19,phrase,REG-10_CHUNK-1755,Genuine retrieval failure,Auto-classified based on phrase failure patterns.
Q_BOOL_0,boolean,ACT-09_CHUNK-0793,Query generation issue,Auto-classified based on boolean failure patterns.
Q_BOOL_1,boolean,ACT-07_CHUNK-0628_SUB-1,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_2,boolean,REG-12_CHUNK-1213_SUB-4,Query generation issue,Auto-classified based on boolean failure patterns.
Q_BOOL_3,boolean,REG-05_CHUNK-0847,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_4,boolean,IRS-17_CHUNK-0058,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_5,boolean,IRS-14_CHUNK-0062,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_6,boolean,REG-12_CHUNK-0201_SUB-8,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_7,boolean,REG-06_CHUNK-0406,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_8,boolean,REG-14_CHUNK-0757_SUB-9,Query generation issue,Auto-classified based on boolean failure patterns.
Q_BOOL_9,boolean,ACT-09_CHUNK-0414,Query generation issue,Auto-classified based on boolean failure patterns.
Q_BOOL_10,boolean,ACT-07_CHUNK-0847_SUB-3,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_11,boolean,ACT-09_CHUNK-0263_SUB-2_SUB-16_SUB-43,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_12,boolean,REG-15_CHUNK-2080_SUB-1,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_13,boolean,REG-14_CHUNK-0192_SUB-7,Analyzer/tokenization issue,Auto-classified based on boolean failure patterns.
Q_BOOL_14,boolean,ACT-06_CHUNK-0127,Query generation issue,Auto-classified based on boolean failure patterns.
Q_BOOL_15,boolean,IRS-06_CHUNK-0217,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_16,boolean,REG-10_CHUNK-1865_SUB-2,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_17,boolean,REG-03_CHUNK-1176,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_18,boolean,ACT-02_CHUNK-0778_SUB-3,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_19,boolean,ACT-07_CHUNK-1704,Query generation issue,Auto-classified based on boolean failure patterns.
Q_META_0,metadata,ACT-09_CHUNK-0592,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_1,metadata,ACT-16_CHUNK-0856,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_2,metadata,ACT-07_CHUNK-0988_SUB-8,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_3,metadata,REG-08_CHUNK-1139_SUB-4,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_4,metadata,ACT-01_CHUNK-0036_SUB-10,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_5,metadata,REG-15_CHUNK-0006,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_6,metadata,REG-10_CHUNK-2161,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_7,metadata,REG-09_CHUNK-0272,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_8,metadata,REG-08_CHUNK-1130,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_9,metadata,ACT-07_CHUNK-2024,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_10,metadata,REG-04_CHUNK-0712,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_11,metadata,ACT-07_CHUNK-3429,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_12,metadata,ACT-04_CHUNK-0672,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_13,metadata,ACT-16_CHUNK-1303_SUB-9,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_14,metadata,REG-03_CHUNK-0339,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_15,metadata,IRS-17_CHUNK-0348,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_16,metadata,ACT-16_CHUNK-0396_SUB-8,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_17,metadata,ACT-16_CHUNK-0978,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_18,metadata,REG-05_CHUNK-0295_SUB-3,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_19,metadata,IRS-06_CHUNK-0123,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
