query_id,query_type,ground_truth,retrieved_top_1,found_in_top_5,latency_s
Q_CIT_0,citation,ACT-20_CHUNK-0301_SUB-3,ACT-20_CHUNK-0301_SUB-3,True,0.0
Q_CIT_1,citation,ACT-07_CHUNK-4822,ACT-07_CHUNK-4822,True,0.0
Q_CIT_2,citation,REG-08_CHUNK-1140_SUB-7,REG-08_CHUNK-1140_SUB-7,True,0.0
Q_CIT_3,citation,ACT-07_CHUNK-4346_SUB-1,ACT-07_CHUNK-4346_SUB-1,True,0.0
Q_CIT_4,citation,ACT-15_CHUNK-0266,ACT-15_CHUNK-0266,True,0.0
Q_CIT_5,citation,REG-15_CHUNK-1001_SUB-6,REG-15_CHUNK-1001_SUB-6,True,0.0
Q_CIT_6,citation,ACT-07_CHUNK-3033,ACT-07_CHUNK-3033,True,0.0
Q_CIT_7,citation,ACT-07_CHUNK-3190,ACT-07_CHUNK-3190,True,0.0
Q_CIT_8,citation,REG-12_CHUNK-0465_SUB-5,REG-12_CHUNK-0465_SUB-5,True,0.0
Q_CIT_9,citation,REG-03_CHUNK-0365_SUB-5,REG-03_CHUNK-0365_SUB-5,True,0.0
Q_CIT_10,citation,IRS-11_CHUNK-0355,IRS-11_CHUNK-0355,True,0.0
Q_CIT_11,citation,IRS-14_CHUNK-0037,IRS-14_CHUNK-0037,True,0.0
Q_CIT_12,citation,IRS-05_CHUNK-0030,IRS-05_CHUNK-0030,True,0.0
Q_CIT_13,citation,ACT-16_CHUNK-1305_SUB-2,ACT-16_CHUNK-1305_SUB-2,True,0.0
Q_CIT_14,citation,REG-12_CHUNK-0200_SUB-7,REG-12_CHUNK-0200_SUB-7,True,0.0
Q_CIT_15,citation,IRS-05_CHUNK-2073,IRS-05_CHUNK-2073,True,0.0
Q_CIT_16,citation,ACT-07_CHUNK-6101,ACT-07_CHUNK-6101,True,0.0
Q_CIT_17,citation,ACT-07_CHUNK-5229,ACT-07_CHUNK-5229,True,0.0
Q_CIT_18,citation,REG-06_CHUNK-1390,REG-06_CHUNK-1390,True,0.0
Q_CIT_19,citation,REG-02_CHUNK-1200,REG-02_CHUNK-1200,True,0.0
Q_KEY_0,keyword,ACT-20_CHUNK-0301_SUB-3,ACT-20_CHUNK-0301_SUB-3,True,0.0
Q_KEY_1,keyword,ACT-07_CHUNK-4822,ACT-07_CHUNK-4822,True,0.0
Q_KEY_2,keyword,REG-08_CHUNK-1140_SUB-7,REG-08_CHUNK-1140_SUB-7,True,0.0
Q_KEY_3,keyword,ACT-07_CHUNK-4346_SUB-1,ACT-07_CHUNK-4346_SUB-1,True,0.0
Q_KEY_4,keyword,ACT-15_CHUNK-0266,ACT-15_CHUNK-0266,True,0.0
Q_KEY_5,keyword,REG-15_CHUNK-1001_SUB-6,REG-15_CHUNK-1001_SUB-6,True,0.0
Q_KEY_6,keyword,ACT-07_CHUNK-3033,ACT-07_CHUNK-3033,True,0.0
Q_KEY_7,keyword,ACT-07_CHUNK-3190,ACT-07_CHUNK-3190,True,0.0
Q_KEY_8,keyword,REG-12_CHUNK-0465_SUB-5,REG-12_CHUNK-0465_SUB-5,True,0.0
Q_KEY_9,keyword,REG-03_CHUNK-0365_SUB-5,REG-03_CHUNK-0365_SUB-5,True,0.0
Q_KEY_10,keyword,IRS-11_CHUNK-0355,IRS-11_CHUNK-0355,True,0.0
Q_KEY_11,keyword,IRS-14_CHUNK-0037,IRS-14_CHUNK-0037,True,0.0
Q_KEY_12,keyword,IRS-05_CHUNK-0030,IRS-05_CHUNK-0030,True,0.0
Q_KEY_13,keyword,ACT-16_CHUNK-1305_SUB-2,ACT-16_CHUNK-1305_SUB-2,True,0.0
Q_KEY_14,keyword,REG-12_CHUNK-0200_SUB-7,REG-12_CHUNK-0200_SUB-7,True,0.0
Q_KEY_15,keyword,IRS-05_CHUNK-2073,IRS-05_CHUNK-2073,True,0.0
Q_KEY_16,keyword,ACT-07_CHUNK-6101,ACT-07_CHUNK-6101,True,0.0
Q_KEY_17,keyword,ACT-07_CHUNK-5229,ACT-07_CHUNK-5229,True,0.0
Q_KEY_18,keyword,REG-06_CHUNK-1390,REG-06_CHUNK-1390,True,0.0
Q_KEY_19,keyword,REG-02_CHUNK-1200,REG-02_CHUNK-1200,True,0.0
Q_PHR_0,phrase,REG-09_CHUNK-0532_SUB-1_SUB-1_SUB-82,,False,0.0
Q_PHR_1,phrase,REG-01_CHUNK-0464_SUB-4_SUB-50,,False,0.0
Q_PHR_2,phrase,ACT-07_CHUNK-9060,,False,0.0
Q_PHR_3,phrase,ACT-07_CHUNK-3155_SUB-2,,False,0.0
Q_PHR_4,phrase,REG-01_CHUNK-1222_SUB-2,,False,0.0
Q_PHR_5,phrase,ACT-18_CHUNK-0046,,False,0.0
Q_PHR_6,phrase,REG-14_CHUNK-0687,,False,0.0
Q_PHR_7,phrase,ACT-03_CHUNK-0398_SUB-8,,False,0.0
Q_PHR_8,phrase,REG-14_CHUNK-0800_SUB-1,,False,0.0
Q_PHR_9,phrase,REG-02_CHUNK-0007,,False,0.0
Q_PHR_10,phrase,IRS-11_CHUNK-0175,,False,0.0
Q_PHR_11,phrase,ACT-07_CHUNK-3187,,False,0.0
Q_PHR_12,phrase,IRS-05_CHUNK-0180,,False,0.0
Q_PHR_13,phrase,IRS-25_CHUNK-0258,,False,0.0
Q_PHR_14,phrase,REG-03_CHUNK-1215,,False,0.0
Q_PHR_15,phrase,ACT-16_CHUNK-0761,,False,0.0
Q_PHR_16,phrase,REG-04_CHUNK-1281_SUB-2_SUB-2,,False,0.0
Q_PHR_17,phrase,ACT-07_CHUNK-2765,,False,0.0
Q_PHR_18,phrase,ACT-07_CHUNK-4456_SUB-6,,False,0.0
Q_PHR_19,phrase,REG-10_CHUNK-1755,,False,0.0
Q_BOOL_0,boolean,ACT-09_CHUNK-0793,,False,0.0
Q_BOOL_1,boolean,ACT-07_CHUNK-0628_SUB-1,,False,0.0
Q_BOOL_2,boolean,REG-12_CHUNK-1213_SUB-4,,False,0.0
Q_BOOL_3,boolean,REG-05_CHUNK-0847,,False,0.0
Q_BOOL_4,boolean,IRS-17_CHUNK-0058,,False,0.0
Q_BOOL_5,boolean,IRS-14_CHUNK-0062,,False,0.0
Q_BOOL_6,boolean,REG-12_CHUNK-0201_SUB-8,,False,0.0
Q_BOOL_7,boolean,REG-06_CHUNK-0406,,False,0.0
Q_BOOL_8,boolean,REG-14_CHUNK-0757_SUB-9,,False,0.0
Q_BOOL_9,boolean,ACT-09_CHUNK-0414,,False,0.0
Q_BOOL_10,boolean,ACT-07_CHUNK-0847_SUB-3,,False,0.0
Q_BOOL_11,boolean,ACT-09_CHUNK-0263_SUB-2_SUB-16_SUB-43,,False,0.0
Q_BOOL_12,boolean,REG-15_CHUNK-2080_SUB-1,,False,0.0
Q_BOOL_13,boolean,REG-14_CHUNK-0192_SUB-7,,False,0.0
Q_BOOL_14,boolean,ACT-06_CHUNK-0127,,False,0.0
Q_BOOL_15,boolean,IRS-06_CHUNK-0217,,False,0.0
Q_BOOL_16,boolean,REG-10_CHUNK-1865_SUB-2,,False,0.0
Q_BOOL_17,boolean,REG-03_CHUNK-1176,,False,0.0
Q_BOOL_18,boolean,ACT-02_CHUNK-0778_SUB-3,,False,0.0
Q_BOOL_19,boolean,ACT-07_CHUNK-1704,,False,0.0
Q_META_0,metadata,ACT-09_CHUNK-0592,,False,0.0
Q_META_1,metadata,ACT-16_CHUNK-0856,,False,0.0
Q_META_2,metadata,ACT-07_CHUNK-0988_SUB-8,,False,0.0
Q_META_3,metadata,REG-08_CHUNK-1139_SUB-4,,False,0.0
Q_META_4,metadata,ACT-01_CHUNK-0036_SUB-10,,False,0.0
Q_META_5,metadata,REG-15_CHUNK-0006,,False,0.0
Q_META_6,metadata,REG-10_CHUNK-2161,,False,0.0
Q_META_7,metadata,REG-09_CHUNK-0272,,False,0.0
Q_META_8,metadata,REG-08_CHUNK-1130,,False,0.0
Q_META_9,metadata,ACT-07_CHUNK-2024,,False,0.0
Q_META_10,metadata,REG-04_CHUNK-0712,,False,0.0
Q_META_11,metadata,ACT-07_CHUNK-3429,,False,0.0
Q_META_12,metadata,ACT-04_CHUNK-0672,,False,0.0
Q_META_13,metadata,ACT-16_CHUNK-1303_SUB-9,,False,0.0
Q_META_14,metadata,REG-03_CHUNK-0339,,False,0.0
Q_META_15,metadata,IRS-17_CHUNK-0348,,False,0.0
Q_META_16,metadata,ACT-16_CHUNK-0396_SUB-8,,False,0.0
Q_META_17,metadata,ACT-16_CHUNK-0978,,False,0.0
Q_META_18,metadata,REG-05_CHUNK-0295_SUB-3,,False,0.0
Q_META_19,metadata,IRS-06_CHUNK-0123,,False,0.0
